Date,EstimatedTransactionVolUSD
2019-07-01,1639029426.22024
2019-07-02,1813299811.70937
2019-07-03,1618383338.89788
2019-07-04,1933335669.36912
2019-07-05,1176057042.74459
2019-07-06,639979717.955877
2019-07-07,561967420.058377
2019-07-08,2099126797.96369
2019-07-09,1779344024.06482
2019-07-10,3158872124.78143
2019-07-11,1909308953.10433
2019-07-12,1573448471.11562
2019-07-13,703409877.232993
2019-07-14,880311916.429513
2019-07-15,1237233738.065
2019-07-16,1554876517.05214
2019-07-17,1898295641.75235
2019-07-18,1363791605.47841
2019-07-19,2126938200.64637
2019-07-20,835319633.831489
2019-07-21,682036367.270114
2019-07-22,1027285548.46237
2019-07-23,946331234.643111
2019-07-24,1334346530.10196
2019-07-25,1029705254.80043
2019-07-26,993970297.737923
2019-07-27,586372755.465987
2019-07-28,379230727.584726
2019-07-29,4112257571.27222
2019-07-30,1280347893.44335
2019-07-31,1033351135.20618
2019-08-01,1063515472.58285
2019-08-02,1276543413.55019
2019-08-03,533502020.952203
2019-08-04,584301307.017416
2019-08-05,1783008179.42602
2019-08-06,1820577410.091
2019-08-07,1528500615.47788
2019-08-08,1409255302.77697
2019-08-09,1423908954.56227
2019-08-10,796863848.442387
2019-08-11,577446710.735718
2019-08-12,1291059873.47708
2019-08-13,1666494659.99051
2019-08-14,1317218977.94195
2019-08-15,1574111185.79898
2019-08-16,1077642458.52809
2019-08-17,1526187033.46721
2019-08-18,923238653.158426
2019-08-19,1023246904.67013
2019-08-20,1220470929.96864
2019-08-21,1083045372.40215
2019-08-22,951158027.834026
2019-08-23,2130991479.93793
2019-08-24,592417288.471263
2019-08-25,576624098.058777
2019-08-26,1311051900.84533
2019-08-27,1295831266.79679
2019-08-28,1050824062.27406
2019-08-29,1674298204.5402
2019-08-30,1323718819.7742
2019-08-31,536730722.744341
2019-09-01,527581681.518463
2019-09-02,1189099299.73989
2019-09-03,1484070470.30013
2019-09-04,1356552610.12157
2019-09-05,1706403125.81051
2019-09-06,2785938242.47131
2019-09-07,920958388.084715
2019-09-08,734442315.886497
2019-09-09,1233969516.75112
2019-09-10,1964047352.89751
2019-09-11,1425043055.21506
2019-09-12,1811962087.02676
2019-09-13,926451075.370118
2019-09-14,550438176.483592
2019-09-15,465077107.456492
2019-09-16,1523428331.69289
2019-09-17,1412330120.98926
2019-09-18,1899700648.3467
2019-09-19,1263814528.24699
2019-09-20,1752366741.2845
