Date,dates_count1
4/29/2019,12024689
4/30/2019,11293386.5
5/1/2019,3647443
5/2/2019,1357848
5/3/2019,3744627
5/4/2019,4453225.5
5/5/2019,5566661.25
5/6/2019,17291614
5/7/2019,13824483.5
5/8/2019,13849460
5/9/2019,9505362.5
5/10/2019,16843538.5
5/11/2019,20307834.5
5/12/2019,14677379.5
5/13/2019,7714795
5/14/2019,27529629.5
5/15/2019,37074170
5/16/2019,44366448.5
5/17/2019,43777398.5
5/18/2019,28482593
5/19/2019,937441
5/20/2019,1915541
5/21/2019,12009279
5/22/2019,12826903.25
5/23/2019,9466968
5/24/2019,16882045.5
5/25/2019,6531659
5/26/2019,1148132.5
5/27/2019,5075736.5
5/28/2019,598813.5
5/29/2019,4725114.5
5/30/2019,4468698.25
5/31/2019,37046712
6/1/2019,14132387
6/2/2019,12730568
6/3/2019,16408692
6/4/2019,15778039
6/5/2019,4955512
6/6/2019,795783.5
6/7/2019,4682255
6/8/2019,976811
6/9/2019,3041072
6/10/2019,8938846
6/11/2019,10643109.5
6/12/2019,11069582
6/13/2019,10535786
6/14/2019,11257570
6/15/2019,7383337
6/16/2019,3091774
6/17/2019,14583917
6/18/2019,15088024.5
6/19/2019,11256444.5
6/20/2019,21944348.5
6/21/2019,20622712
6/22/2019,24146898.5
6/23/2019,11102421.5
6/24/2019,3188557
6/25/2019,11342321.5
6/26/2019,33920593.5
6/27/2019,50211405
6/28/2019,44731392
6/29/2019,4459540
6/30/2019,1235075
7/1/2019,11497004.5
7/2/2019,15500276.5
7/3/2019,2456828
7/4/2019,1856098.5
7/5/2019,2300822.5
7/6/2019,812104.5
7/7/2019,566222.5
7/8/2019,6913341
7/9/2019,4001273
7/10/2019,13992535.5
7/11/2019,19886388
7/12/2019,23171613.5
7/13/2019,2813429.5
7/14/2019,580953
7/15/2019,15525064
7/16/2019,1410813
7/17/2019,11815637.5
7/18/2019,33659773.5
7/19/2019,38396903.5
7/20/2019,12803880.5
7/21/2019,2934213.75
7/22/2019,6565839
7/23/2019,4212998
7/24/2019,8190131.5
7/25/2019,6185320
7/26/2019,291533
7/27/2019,931697
7/28/2019,681760.5
7/29/2019,296262.5
7/30/2019,787793.25
7/31/2019,464934
8/1/2019,5970810.5
8/2/2019,4118802.5
8/3/2019,1280949.5
8/4/2019,424514
8/5/2019,649073.5
8/6/2019,1166801
8/7/2019,1045631.5
8/8/2019,7833324.25
8/9/2019,7976030
8/10/2019,587340
8/11/2019,4102197.5
8/12/2019,4945293
8/13/2019,2938716.5
8/14/2019,2021389
8/15/2019,1515166
8/16/2019,916838.25
8/17/2019,1115199
8/18/2019,3498443
8/19/2019,8780060
8/20/2019,2960133.5
8/21/2019,1178479
8/22/2019,2489941
8/23/2019,1466850
8/24/2019,1216783
8/25/2019,541381.25
8/26/2019,9628015.5
8/27/2019,7088529
8/28/2019,8763252.5
8/29/2019,2579167
8/30/2019,6100128
8/31/2019,1349702
9/1/2019,1894478.5
