Date,Price,Open,High,Low
6/6/2013,1415.7,1401.7,1422.7,1391.6
6/7/2013,1383,1411.5,1416.4,1377.9
6/8/2013,1386.2,1378.8,1386.9,1375.6
6/9/2013,1386.2,1378.8,1386.9,1375.6
6/10/2013,1386.2,1378.8,1386.9,1375.6
6/11/2013,1377,1384.2,1384.4,1366
6/12/2013,1391.8,1375,1393.5,1373.7
6/13/2013,1377.6,1386.8,1390.9,1373.4
6/14/2013,1387.3,1383.9,1389.6,1377.8
6/15/2013,1382.8,1390.3,1390.5,1380
6/16/2013,1382.8,1390.3,1390.5,1380
6/17/2013,1382.8,1390.3,1390.5,1380
6/18/2013,1366.6,1383.1,1383.5,1363
6/19/2013,1373.6,1368.1,1372.7,1348.1
6/20/2013,1285.9,1348.1,1348.1,1275.4
6/21/2013,1291.6,1280.4,1300,1268.9
6/22/2013,1276.8,1297.3,1297.3,1275.7
6/23/2013,1276.8,1297.3,1297.3,1275.7
6/24/2013,1276.8,1297.3,1297.3,1275.7
6/25/2013,1274.8,1281.3,1286,1273.2
6/26/2013,1229.6,1273.9,1273.9,1228.8
6/27/2013,1360.2,1360.2,1360.2,1360.2
6/28/2013,1374.9,1374.9,1374.9,1374.9
6/29/2013,1407.8,1407.8,1407.8,1407.8
6/30/2013,1407.8,1407.8,1407.8,1407.8
7/1/2013,1407.8,1407.8,1407.8,1407.8
7/2/2013,1393.9,1393.9,1393.9,1393.9
7/3/2013,1403.9,1403.9,1403.9,1403.9
7/4/2013,1247.05,1254.55,1256.15,1244.45
7/5/2013,1374.2,1374.2,1374.2,1374.2
7/6/2013,1394.3,1394.3,1394.3,1394.3
7/7/2013,1394.3,1394.3,1394.3,1394.3
7/8/2013,1394.3,1394.3,1394.3,1394.3
7/9/2013,1403.3,1403.3,1403.3,1403.3
7/10/2013,1405.7,1405.7,1405.7,1405.7
7/11/2013,1435.4,1435.4,1435.4,1435.4
7/12/2013,1433.6,1433.6,1433.6,1433.6
7/13/2013,1437.9,1437.9,1437.9,1437.9
7/14/2013,1437.9,1437.9,1437.9,1437.9
7/15/2013,1437.9,1437.9,1437.9,1437.9
7/16/2013,1442.7,1442.7,1442.7,1442.7
7/17/2013,1426.3,1426.3,1426.3,1426.3
7/18/2013,1433.1,1433.1,1433.1,1433.1
7/19/2013,1440.3,1440.3,1440.3,1440.3
7/20/2013,1485.2,1485.2,1485.2,1485.2
7/21/2013,1485.2,1485.2,1485.2,1485.2
7/22/2013,1485.2,1485.2,1485.2,1485.2
7/23/2013,1483.4,1483.4,1483.4,1483.4
7/24/2013,1472,1472,1472,1472
7/25/2013,1483.4,1483.4,1483.4,1483.4
7/26/2013,1471.7,1471.7,1471.7,1471.7
7/27/2013,1482.2,1482.2,1482.2,1482.2
7/28/2013,1482.2,1482.2,1482.2,1482.2
7/29/2013,1482.2,1482.2,1482.2,1482.2
7/30/2013,1476.3,1476.3,1476.3,1476.3
7/31/2013,1468.6,1468.6,1468.6,1468.6
8/1/2013,1468.5,1468.5,1468.5,1468.5
8/2/2013,1463,1463,1463,1463
8/3/2013,1456.4,1456.4,1456.4,1456.4
8/4/2013,1456.4,1456.4,1456.4,1456.4
8/5/2013,1456.4,1456.4,1456.4,1456.4
8/6/2013,1435.4,1435.4,1435.4,1435.4
